585	chr1	14541	14591	ILMN_1761068	1000	-	14541	14591	1	1	50,	0,
585	chr1	14696	14746	ILMN_1739199	1000	-	14696	14746	1	1	50,	0,
585	chr1	18558	18608	ILMN_1723657	1000	-	18558	18608	1	1	50,	0,
585	chr1	24553	24603	ILMN_1749832	1000	-	24553	24603	1	1	50,	0,
585	chr1	69475	69525	ILMN_1776601	1000	+	69475	69525	1	1	50,	0,
585	chr1	69648	69698	ILMN_2200738	1000	+	69648	69698	1	1	50,	0,
585	chr1	129001	129054	ILMN_1705326	1000	-	129001	129054	1	2	11,39,	0,14,
586	chr1	140209	140259	ILMN_1698164	1000	-	140209	140259	1	1	50,	0,
586	chr1	160683	161357	ILMN_1857413	1000	-	160683	161357	1	3	7,13,30,	0,630,644,
586	chr1	168000	168050	ILMN_1666935	1000	-	168000	168050	1	1	50,	0,
586	chr1	169105	169155	ILMN_1752798	1000	-	169105	169155	1	1	50,	0,
586	chr1	228631	228669	ILMN_1814011	1000	-	228631	228669	1	1	38,	0,
586	chr1	232708	232758	ILMN_1831734	1000	+	232708	232758	1	1	50,	0,
587	chr1	329466	329516	ILMN_1754156	1000	+	329466	329516	1	1	50,	0,
587	chr1	365259	365309	ILMN_1663065	1000	+	365259	365309	1	1	50,	0,
587	chr1	367045	367095	ILMN_1679910	1000	+	367045	367095	1	1	50,	0,
587	chr1	367786	367836	ILMN_1690048	1000	+	367786	367836	1	1	50,	0,
587	chr1	367902	367952	ILMN_1690796	1000	+	367902	367952	1	1	50,	0,
587	chr1	368022	368072	ILMN_2200714	1000	+	368022	368072	1	1	50,	0,
587	chr1	368156	368206	ILMN_2103646	1000	+	368156	368206	1	1	50,	0,
588	chr1	436364	436414	ILMN_1686847	1000	+	436364	436414	1	1	50,	0,
588	chr1	453507	453557	ILMN_1898853	1000	-	453507	453557	1	1	50,	0,
589	chr1	546575	546625	ILMN_1708558	1000	-	546575	546625	1	1	50,	0,
589	chr1	548192	548242	ILMN_1686847	1000	-	548192	548242	1	1	50,	0,
589	chr1	621486	621536	ILMN_2103646	1000	-	621486	621536	1	1	50,	0,
589	chr1	621620	621670	ILMN_2200714	1000	-	621620	621670	1	1	50,	0,
589	chr1	621740	621790	ILMN_1690796	1000	-	621740	621790	1	1	50,	0,
